"0700ED86D1" "0700ED8779" "0700ED8B63" "0700ED8CD7" "0700ED90DC" "0700ED9147" "0700ED9433" "0700ED9731" "0700ED9A89" "0700ED9D9A" "0700EDA05D" "0700EDA584" "0700EDA701" "0700EDA75A" "0700EDA801" "0700EDA8D7" "0700EDA916" "0700EDA93F" "0700EDA980" "0700EDAA73" "0700EDABAF" "0700EDAC8D" "0700EDAD89" "0700EDB2B0" "0700EDB2F7" "0700EDB5F4" "0700EDB8E1" "0700EDBA40" "0700EDBC2D" "0700EDBE65" "0700EDC4CF" "0700EDC540" "0700EDC5A2" "0700EDCEC1" "0700EDD02F" "0700EDD4EC" "0700EDD9AE" "0700EDDA6A" "0700EDDA92" "0700EDDDFC" "0700EDE1F1" "0700EDE2C5" "0700EDEBED" "0700EDEC75" "0700EDF1D0" "0700EDF632" "0700EDF954" "0700EDF99F" "0700EDFA3D" "0700EE0188" "0700EE01F9" "0700EE0398" "0700EE03BB" "0700EE0558" "0700EE084E" "0700EE09D7" "0700EE0AF9" "0700EE0B90" "0700EE0FED" "0700EE103B" "0700EE12BB" "0700EE166F" "0700EE1827" "0700EE19D1" "0700EE19E9" "0700EE1B45" "0700EE1E0A" "0700EE1E8D" "0700EE209F" "0700EE268A" "0700EE26BC" "0700EE2905" "0700EE294F" "0700EE2A4A" "0700EE2B32" "0700EE2C34" "0700EE309F" "0700EE30E1" "0700EE3211" "0700EE3535" "0700EE3573" "0700EE35ED" "0700EE37BD" "0700EE3840" "0700EE3CE0" "0700EE40FF" "0700EE4234" "0700EE4366" "0700EE44D4"
"0700EE0398" 0.181818181818182 0 0.363636363636364 0.2 0 0 0 0 0 0 0 0 0 0.1875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0.333333333333333 0 0 0 0 0 0.466666666666667 0 0 0.294117647058824 0 0 0 0.222222222222222 0 0 0.166666666666667 0 0 0 0 0 0 0.3125 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0.307692307692308 0 0 0.285714285714286
"0700EE03BB" 0 0 0 0 0 0.0769230769230769 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.333333333333333 0 0.615384615384615 0 0 0 0 0 0.416666666666667 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.583333333333333 0 0 0 0 0 0 0 0 0 0 0.307692307692308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE0558" 0 0 0 0 0 0 0.111111111111111 0.181818181818182 0 0 0.428571428571429 0 0 0 0 0 0.0909090909090909 0 0.142857142857143 0 0.125 0.4 0 0.0833333333333333 0 0 0.75 0.75 0 0.285714285714286 0 0 0.222222222222222 0 0.125 0 0 0 0 0 0.142857142857143 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0.272727272727273 0 0 0.333333333333333 0.375 0 0 0 0.1 0.111111111111111 0 0 0 0 0.285714285714286 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0.142857142857143 0.428571428571429 0 0 0.142857142857143 0 0 0 0
"0700EE084E" 0 0 0 0 0 0 0.111111111111111 0.181818181818182 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0.272727272727273 0 0.181818181818182 0 0 0.4 0.272727272727273 0 0.285714285714286 0 0.142857142857143 0.222222222222222 0 0.285714285714286 0 0 0 0 0 0 0 0 0.363636363636364 0 0 0 0 0 0 0 0 0 0.272727272727273 0 0 0 0.0909090909090909 0.222222222222222 0 0 0 0.1 0.428571428571429 0 0 0 0 0.125 0 0.333333333333333 0.285714285714286 0.142857142857143 0 0 0 0 0 0 0 0.142857142857143 0.25 0 0 0.142857142857143 0 0 0 0
"0700EE09D7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0.25 0 0 0 0 0 0
"0700EE0AF9" 0.285714285714286 0 0.111111111111111 0.352941176470588 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.153846153846154 0 0 0.526315789473684 0 0 0 0 0 0.5 0 0 0.6875 0 0 0 0.588235294117647 0 0 0.625 0 0.3125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.785714285714286 0 0 0 0 0 0 0 0.0769230769230769 0 0 0 0 0 0 0 0.375 0 0.0769230769230769 0.4375
"0700EE0B90" 0 0.125 0 0 0 0 0.142857142857143 0 0 0 0.333333333333333 0 0 0 0 0 0.428571428571429 0 0 0 0 0.2 0 0 0.25 0 0.333333333333333 0.333333333333333 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0.3 0.166666666666667 0 0 0 0 0 0 0 0 0.333333333333333 0.0909090909090909 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0.125 0 0 0.166666666666667 0 0 0 0 0 0 0 0.333333333333333 0 0 0.2 0 0 0 0
"0700EE0FED" 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0.125 0 0 0 0 0.222222222222222 0 0 0 0 0.375 0.375 0 0.5 0 0 0.142857142857143 0 0.2 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0.375 0.222222222222222 0 0 0.285714285714286 0 0 0 0 0 0.166666666666667 0 0 0 0 0.5 0 0.0625 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.75 0 0 0.25 0 0 0 0
"0700EE103B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0
"0700EE12BB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0.142857142857143 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.25 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0.125 0 0 0 0 0 0 0.25 0 0.25 0 0.25 0 0 0 0 0.285714285714286 0 0 0 0 0
"0700EE166F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.272727272727273 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0.307692307692308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE1827" 0 0 0 0 0 0 0.166666666666667 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0.25 0 0.2 0.222222222222222 0 0.25 0 0 0 0.1 0 0 0 0.25 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0.0909090909090909 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.307692307692308 0.2 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE19D1" 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0.111111111111111 0.111111111111111 0 0.25 0 0 0.166666666666667 0 0.666666666666667 0 0 0 0 0 0 0 0 0.222222222222222 0 0 0 0 0 0 0 0 0 0.111111111111111 0.428571428571429 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0.25 0 0.142857142857143 0.25 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0
"0700EE19E9" 0 0.166666666666667 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0.4 0.142857142857143 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0.333333333333333 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0.333333333333333 0 0.333333333333333 0.25 0 0 0 0.142857142857143 0 0 0 0 0
"0700EE1B45" 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.142857142857143 0.142857142857143 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.25 0 0 0 0 0.25 0 0 0 0.2 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.125 0 0 0.5 0 0
"0700EE1E0A" 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0.5 0 0 0 0 0.142857142857143 0 0 0 0.333333333333333 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0.333333333333333 0 0
"0700EE1E8D" 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0.125 0.125 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0.2 0 0 0 0 0.375 0 0 0 0.4 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0.5 0.166666666666667 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0.428571428571429 0 0 0.4 0 0
"0700EE209F" 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.166666666666667 0 0 0 0 0.285714285714286 0 0 0 0 0.285714285714286 0.285714285714286 0 0.333333333333333 0 0 0.2 0 0.333333333333333 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0.285714285714286 0.125 0 0 0.166666666666667 0.5 0 0 0 0 0.25 0 0 0 0 0 0 0.0714285714285714 0 0 0 0 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0
"0700EE268A" 0.307692307692308 0 0.1875 0.375 0 0 0 0 0 0 0 0 0 0.642857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0.473684210526316 0 0 0 0 0 0.529411764705882 0 0 0.625 0 0 0 0.625 0 0 0.666666666666667 0 0.333333333333333 0 0 0 0 0.785714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.4 0 0.0833333333333333 0.466666666666667
"0700EE26BC" 0 0 0 0 0 0 0.230769230769231 0.461538461538462 0 0 0.0666666666666667 0 0 0 0 0 0.0588235294117647 0 0.0769230769230769 0 0.0714285714285714 0.428571428571429 0 0.357142857142857 0 0 0.333333333333333 0.333333333333333 0 0 0 0.0769230769230769 0.133333333333333 0 0.0714285714285714 0 0 0 0 0 0.0769230769230769 0 0 0.4 0 0 0 0 0 0 0 0 0 0.333333333333333 0.333333333333333 0 0 0.125 0.0625 0 0 0 0.307692307692308 0.142857142857143 0 0 0 0 0.0714285714285714 0 0 0.153846153846154 0.0769230769230769 0 0 0 0 0 0 0 0.0769230769230769 0.0666666666666667 0 0 0 0 0 0 0
"0700EE2905" 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0.125 0 0.142857142857143 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0.2 0.25 0 0 0 0 0 0 0.153846153846154 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE294F" 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0.166666666666667 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0.0769230769230769 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE2A4A" 0 0.444444444444444 0 0 0 0 0 0 0.111111111111111 0 0 0.111111111111111 0.111111111111111 0 0 0.181818181818182 0.4 0 0 0 0 0 0 0 0.555555555555556 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0.222222222222222 0 0 0 0.181818181818182 0 0 0 0 0 0 0 0 0.166666666666667 0.0833333333333333 0.111111111111111 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.222222222222222 0 0 0 0 0 0 0 0 0
"0700EE2B32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0
"0700EE2C34" 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.75 0 0 0 0 0 0
"0700EE309F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0.2 0 0 0 0 0
"0700EE30E1" 0.2 0 0.142857142857143 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0625 0 0 0 0 0 0.0714285714285714 0 0 0.0714285714285714 0 0 0 0.0714285714285714 0 0 0.0769230769230769 0 0.125 0 0 0 0 0.0769230769230769 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE3211" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0.2 0 0 0 0 0
"0700EE3535" 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0.222222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE3573" 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0.142857142857143 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0.142857142857143 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0769230769230769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE35ED" 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.142857142857143 0 0 0 0 0.25 0 0 0 0 0.428571428571429 0.428571428571429 0 0.666666666666667 0 0 0.166666666666667 0 0.25 0 0 0 0 0 0 0 0 0.375 0 0 0 0 0 0 0 0 0 0.428571428571429 0.25 0 0 0.333333333333333 0.75 0 0 0 0 0.2 0 0 0 0 0.666666666666667 0 0.0666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0
"0700EE37BD" 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE3840" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.125 0.125 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0.571428571428571 0 0 0 0.4 0 0.2 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0.142857142857143 0.125 0.166666666666667 0.428571428571429 0 0 0 0 0 0 0.2 0 0.2 0 0.2 0 0 0 0 0 0 0 0.166666666666667 0 0
"0700EE3CE0" 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0.142857142857143 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0.142857142857143 0.142857142857143 0 0 0.2 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0
"0700EE40FF" 0.0769230769230769 0 0.333333333333333 0.266666666666667 0 0 0 0 0 0 0 0 0 0.428571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0.222222222222222 0 0 0.388888888888889 0 0 0 0 0 0.277777777777778 0 0 0.4375 0 0 0 0.352941176470588 0 0 0.222222222222222 0 0.307692307692308 0 0 0 0 0.375 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0.727272727272727
"0700EE4234" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.333333333333333 0 0 0 0.333333333333333 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.333333333333333 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0
"0700EE4366" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0909090909090909 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0714285714285714 0 0 0.0769230769230769 0 0 0 0 0 0 0.0769230769230769 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0.1
"0700EE44D4" 0.153846153846154 0 0.307692307692308 0.428571428571429 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0.0909090909090909 0 0 0.444444444444444 0 0 0 0 0 0.333333333333333 0 0 0.5 0 0 0 0.411764705882353 0 0 0.277777777777778 0 0.285714285714286 0 0 0 0 0.4375 0 0 0 0 0 0 0 0 0 0 0 0 0.466666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.727272727272727 0 0.1 0
